dataset	method	epsilon	time	pairs
cell109	BFE	20	0.026902462	0
cell109	PSI	10	0.007805511	0
cell109	PSI	12	0.010623832	0
cell109	PSI	14	0.008131199	0
cell109	PSI	16	0.008115956	0
cell109	PSI	18	0.009839660333333333	0
cell109	PSI	20	0.008719618	0
cell11	BFE	10	0.023485380333333333	0
cell11	BFE	12	0.022809862666666667	0
cell11	BFE	14	0.023448735666666665	0
cell11	BFE	16	0.02385542733333333	0
cell11	BFE	18	0.023343391	0
cell11	BFE	20	0.023128338333333335	0
cell11	PSI	10	0.0050732496666666665	0
cell11	PSI	12	0.004924590666666667	0
cell11	PSI	14	0.004928016	0
cell11	PSI	16	0.005003734	0
cell11	PSI	18	0.004929234	0
cell11	PSI	20	0.0050272523333333334	0
cell110	BFE	10	0.12604043833333334	78
cell110	BFE	12	0.11825193733333335	84
cell110	BFE	14	0.11620752666666667	89
cell110	BFE	16	0.13412328566666665	96
cell110	BFE	18	0.13119279833333333	99
cell110	BFE	20	0.11943968233333332	100
cell110	PSI	10	0.05889944666666667	78
cell110	PSI	12	0.05303266933333333	84
cell110	PSI	14	0.057113675666666676	89
cell110	PSI	16	0.06229994133333335	96
cell110	PSI	18	0.068095107	99
cell110	PSI	20	0.052297227666666675	100
cell111	BFE	10	0.023435605333333335	0
cell111	BFE	12	0.023336317666666665	0
cell111	BFE	14	0.022761824666666666	0
cell111	BFE	16	0.022224853666666666	0
cell111	BFE	18	0.022318097000000002	0
cell111	BFE	20	0.020947813333333336	0
cell111	PSI	10	0.005061209333333334	0
cell111	PSI	12	0.007216881666666667	0
cell111	PSI	14	0.004684163333333333	0
cell111	PSI	16	0.0046648923333333335	0
cell111	PSI	18	0.004791609666666667	0
cell111	PSI	20	0.004692700333333333	0
cell112	BFE	10	0.060703921	3
cell112	BFE	12	0.061661236333333334	3
cell112	BFE	14	0.064218162	9
cell112	BFE	16	0.066951759	11
cell112	BFE	18	0.077172486	13
cell112	BFE	20	0.074610096	15
cell112	PSI	10	0.024327464666666663	3
cell112	PSI	12	0.025799316666666662	3
cell112	PSI	14	0.026906028000000002	9
cell112	PSI	16	0.03320656633333333	11
cell112	PSI	18	0.032594918	13
cell112	PSI	20	0.031513578	15
cell113	BFE	10	0.03438319733333334	0
cell113	BFE	12	0.034743904666666665	0
cell113	BFE	14	0.034847307	0
cell113	BFE	16	0.034782171	0
cell113	BFE	18	0.034919544	0
cell113	BFE	20	0.034075276	0
cell113	PSI	10	0.011587506333333332	0
cell113	PSI	12	0.011036100333333333	0
cell113	PSI	14	0.010936508	0
cell113	PSI	16	0.012953322333333333	0
cell113	PSI	18	0.012109641	0
cell113	PSI	20	0.010952159666666666	0
cell114	BFE	10	0.036275553333333335	0
cell114	BFE	12	0.036976157	0
cell114	BFE	14	0.05239930266666667	3
cell114	BFE	16	0.053396309	3
cell114	BFE	18	0.05484330266666666	6
cell114	BFE	20	0.05629873266666667	8
cell114	PSI	10	0.013178652333333334	0
cell114	PSI	12	0.013373926	0
cell114	PSI	14	0.028324774333333334	3
cell114	PSI	16	0.02604309033333333	3
cell114	PSI	18	0.028601401999999998	6
cell114	PSI	20	0.02883185566666667	8
cell115	BFE	10	0.029020699333333334	0
cell115	BFE	12	0.029479846	0
cell115	BFE	14	0.029540732333333333	0
cell115	BFE	16	0.02982982	0
cell115	BFE	18	0.02897015366666667	0
cell115	BFE	20	0.029685099666666666	0
cell115	PSI	10	0.009058936666666666	0
cell115	PSI	12	0.009043282	0
cell115	PSI	14	0.010185824333333334	0
cell115	PSI	16	0.010052039333333334	0
cell115	PSI	18	0.008910424	0
cell115	PSI	20	0.012396595666666666	0
cell116	BFE	10	0.03421740633333333	0
cell116	BFE	12	0.035557288666666666	0
cell116	BFE	14	0.034599953333333336	0
cell116	BFE	16	0.03460495	0
cell116	BFE	18	0.048468209666666665	2
cell116	BFE	20	0.05189195233333333	6
cell116	PSI	10	0.011990286666666667	0
cell116	PSI	12	0.012652737333333332	0
cell116	PSI	14	0.010862986333333333	0
cell116	PSI	16	0.014876163333333333	0
cell116	PSI	18	0.015731564	2
cell116	PSI	20	0.024424434000000002	6
cell117	BFE	10	0.053790332999999996	6
cell117	BFE	12	0.05273104533333334	6
cell117	BFE	14	0.058138985	6
cell117	BFE	16	0.058040808666666666	6
cell117	BFE	18	0.05716918	6
cell117	BFE	20	0.05465493133333333	6
cell117	PSI	10	0.027501705333333334	6
cell117	PSI	12	0.026879897666666666	6
cell117	PSI	14	0.019065082666666667	6
cell117	PSI	16	0.019306709333333335	6
cell117	PSI	18	0.022586506333333332	6
cell117	PSI	20	0.027741368666666665	6
cell118	BFE	10	0.023257181000000002	0
cell118	BFE	12	0.023047238333333334	0
cell118	BFE	14	0.02324070266666667	0
cell118	BFE	16	0.023513547	0
cell118	BFE	18	0.022771485333333334	0
cell118	BFE	20	0.022967170000000002	0
cell118	PSI	10	0.005033302666666666	0
cell118	PSI	12	0.004978622333333333	0
cell118	PSI	14	0.004721770333333333	0
cell118	PSI	16	0.004957875666666667	0
cell118	PSI	18	0.004600468666666666	0
cell118	PSI	20	0.004734203333333333	0
cell119	BFE	10	0.019973928000000002	0
cell119	BFE	12	0.019622565666666668	0
cell119	BFE	14	0.020136936	0
cell119	BFE	16	0.019675822333333332	0
cell119	BFE	18	0.020358178333333334	0
cell119	BFE	20	0.018455586666666666	0
cell119	PSI	10	0.0030007833333333335	0
cell119	PSI	12	0.0031208666666666667	0
cell119	PSI	14	0.0031075119999999998	0
cell119	PSI	16	0.0030306693333333333	0
cell119	PSI	18	0.0031170856666666667	0
cell119	PSI	20	0.0029760756666666667	0
cell12	BFE	10	0.024314591666666666	0
cell12	BFE	12	0.023995211333333332	0
cell12	BFE	14	0.023905305333333335	0
cell12	BFE	16	0.024399798	0
cell12	BFE	18	0.024409159333333333	0
cell12	BFE	20	0.023119479333333335	0
cell12	PSI	10	0.005951293999999999	0
cell12	PSI	12	0.005733702333333333	0
cell12	PSI	14	0.005603361	0
cell12	PSI	16	0.005815176333333333	0
cell12	PSI	18	0.005555667	0
cell12	PSI	20	0.005577016666666666	0
cell120	BFE	10	0.054971803	3
cell120	BFE	12	0.05445174666666667	3
cell120	BFE	14	0.058291061666666664	6
cell120	BFE	16	0.058891867	11
cell120	BFE	18	0.058684399666666665	11
cell120	BFE	20	0.07176545066666666	12
cell120	PSI	10	0.029828195666666668	3
cell120	PSI	12	0.028490549666666667	3
cell120	PSI	14	0.029740568	6
cell120	PSI	16	0.027945795333333332	11
cell120	PSI	18	0.032530962000000004	11
cell120	PSI	20	0.02362275566666667	12
cell121	BFE	10	0.034133526	0
cell121	BFE	12	0.033944969	0
cell121	BFE	14	0.034212652	0
cell121	BFE	16	0.033905118666666664	0
cell121	BFE	18	0.033537575666666666	0
cell121	BFE	20	0.033080435	0
cell121	PSI	10	0.012296244999999999	0
cell121	PSI	12	0.010737460333333334	0
